test_date,address_full,lead_ppb,copper_ppb
2016-01-24 12:09:39,"2013 BARKS,FLINT,48503",0,90
2016-01-24 12:09:37,"1122 BURLINGTON DR,FLINT,48503",0,90
2016-01-24 12:08:57,"3112 DEARBORN AVE,FLINT,48507",0,90
2016-01-23 11:59:29,"3900 HAMMERBERG RD A-319,FLINT,48507",0,90
2016-01-22 12:57:04,"209 E. TAYLOR ST,FLINT,48504",0,90
2016-01-22 12:56:33,"2009 ADAMS AVE,FLINT,48505",0,90
2016-01-22 12:56:01,"3608 SUNRIDGE DR,FLINT,48506",0,90
2016-01-22 12:35:09,"3144 DELAWARE,FLINT,48506",0,90
2016-01-21 16:20:29,"3719 LORRAINE AVE,FLINT,",0,90
2016-01-21 16:13:58,"3119 RASKOB ST,FLINT,",0,90
2016-01-21 16:13:05,"413 GARLAND ST #2,FLINT,48503",0,90
2016-01-21 16:00:56,"2618 NORBERT ST,FLINT,48504",0,90
2016-01-21 15:48:00,"910 FROST ST,FLINT,48504",0,90
2016-01-21 15:34:00,"3525 CHAMBERS ST,FLINT,48507",0,90
2016-01-21 15:33:00,"1939 PENBROOK LN,FLINT,48507",0,90
2016-01-21 15:33:00,"2956 STEVENSON,FLINT,48505",0,90
2016-01-21 15:31:00,"5001 ALPHA WAY,FLINT,48506",0,90
2016-01-21 13:43:29,"944 MARKHAM ST,FLINT,48507",0,90
2016-01-21 13:36:29,"634 W BISHOP AV,FLINT,48505",0,90
2016-01-21 13:36:19,"3002 MENOMINEE AVE,FLINT,48507",0,90
2016-01-21 13:34:33,"4028 PARK FOREST DR,FLINT,48507",0,90
2016-01-21 13:34:05,"1802 HAMDEN RD,FLINT,48503",0,90
2016-01-20 13:23:11,"1820 WINDSOR LN,FLINT,48507",0,90
2016-01-20 13:07:25,"3729 BEECHER ROAD,FLINT,48503",0,90
2016-01-19 16:27:45,"3602 N TERM ST,FLINT,48506",0,90
2016-01-19 16:18:56,"924 LAFAYETTE ST,FLINT,48503",0,90
2016-01-19 16:18:12,"2222 N FRANKLIN,,",0,90
2016-01-15 11:03:05,"2211 WINDEMERE AVE,FLINT,48503",0,90
2016-01-07 15:17:41,"1201 N GRAND TRAVERSE,FLINT,",0,90
2016-01-07 15:17:21,"4013 BLACKINGTON AVE,FLINT,",0,90
2015-12-18 15:07:56,"505 EAST ST,FLINT,48503",0,90
2015-12-18 15:07:43,"1302 BARNEY AVE,FLINT,48503",0,90
